model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
CE-VAE,200,0.0001,0.0001,0.01,0.001,1,,0.0001,600,0.2,Adam,"[0.853, 0.0045]","[0.836, 0.0044]","[0.8203, 0.0045]","[0.8747, 0.005]","[0.5832, 0.0028]","[0.8188, 0.0047]","[0.7903, 0.0049]","[0.7593, 0.0052]","[0.8531, 0.0049]","[0.4627, 0.0031]","[0.2784, 0.0027]","[0.3935, 0.0033]","[0.4932, 0.0036]","[0.1492, 0.0018]"
CE-VAE,200,0.0001,0.0001,0.01,0.001,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.01,0.001,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.01,0.01,1,,0.0001,600,0.2,Adam,"[0.8089, 0.0052]","[0.798, 0.0049]","[0.7866, 0.0049]","[0.8199, 0.006]","[0.559, 0.0026]","[0.7892, 0.005]","[0.7674, 0.0049]","[0.741, 0.0051]","[0.8113, 0.0054]","[0.4483, 0.003]","[0.265, 0.0026]","[0.3806, 0.0032]","[0.4819, 0.0036]","[0.1386, 0.0017]"
CE-VAE,200,0.0001,0.0001,0.01,0.01,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.01,0.01,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.01,0.1,1,,0.0001,600,0.2,Adam,"[0.783, 0.0053]","[0.7702, 0.005]","[0.7576, 0.0049]","[0.7965, 0.0062]","[0.5369, 0.0027]","[0.7581, 0.005]","[0.7349, 0.0049]","[0.7088, 0.0049]","[0.7867, 0.0056]","[0.4287, 0.003]","[0.2541, 0.0025]","[0.3648, 0.0032]","[0.4623, 0.0036]","[0.1339, 0.0016]"
CE-VAE,200,0.0001,0.0001,0.01,0.1,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.01,0.1,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.01,1,1,,0.0001,600,0.2,Adam,"[0.6929, 0.0062]","[0.6819, 0.0058]","[0.6717, 0.0056]","[0.7056, 0.0072]","[0.4662, 0.0023]","[0.672, 0.0057]","[0.6519, 0.0055]","[0.6336, 0.0054]","[0.6941, 0.0065]","[0.3688, 0.0024]","[0.216, 0.0021]","[0.3103, 0.0025]","[0.3978, 0.0027]","[0.1129, 0.0014]"
