model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
E-CDE-VAE,200,0.0001,0.0001,0.01,0.001,1.0,,0.0001,300,0.2,Adam,"[0.059, 0.0028]","[0.0531, 0.0023]","[0.0489, 0.002]","[0.0673, 0.0038]","[0.0356, 0.0013]","[0.15, 0.0047]","[0.0458, 0.0019]","[0.0389, 0.0015]","[0.0345, 0.0013]","[0.0591, 0.0029]","[0.0221, 0.0007]","[0.0604, 0.0036]","[0.1309, 0.0058]","[0.1625, 0.0064]","[0.191, 0.0069]","[0.0871, 0.0049]","[0.2971, 0.008]"
E-CDE-VAE,200,0.0001,0.0001,0.01,0.001,1.0,,0.0005,300,0.2,Adam,"[0.0541, 0.0027]","[0.0482, 0.0022]","[0.0439, 0.0019]","[0.0634, 0.0037]","[0.0311, 0.0012]","[0.1341, 0.0047]","[0.0404, 0.0018]","[0.0339, 0.0014]","[0.0295, 0.0011]","[0.0536, 0.0027]","[0.0185, 0.0006]","[0.0557, 0.0035]","[0.1197, 0.0057]","[0.1472, 0.0063]","[0.1694, 0.0067]","[0.0821, 0.0048]","[0.2562, 0.0078]"
E-CDE-VAE,200,0.0001,0.0001,0.01,0.001,1.0,,0.001,300,0.2,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
E-CDE-VAE,200,0.0001,0.0001,0.01,0.01,1.0,,0.0001,300,0.2,Adam,"[0.0595, 0.0028]","[0.0536, 0.0024]","[0.0493, 0.0021]","[0.0682, 0.0038]","[0.0357, 0.0013]","[0.1497, 0.0046]","[0.0464, 0.0019]","[0.0393, 0.0015]","[0.0344, 0.0013]","[0.0592, 0.0029]","[0.0219, 0.0007]","[0.0593, 0.0035]","[0.1307, 0.0058]","[0.1654, 0.0065]","[0.1911, 0.0069]","[0.0873, 0.0048]","[0.2954, 0.008]"
E-CDE-VAE,200,0.0001,0.0001,0.01,0.01,1.0,,0.0005,300,0.2,Adam,"[0.0532, 0.0027]","[0.0474, 0.0022]","[0.0432, 0.0019]","[0.0619, 0.0037]","[0.0306, 0.0012]","[0.1319, 0.0046]","[0.0401, 0.0018]","[0.0334, 0.0014]","[0.029, 0.0011]","[0.0525, 0.0027]","[0.0181, 0.0006]","[0.0538, 0.0034]","[0.1187, 0.0057]","[0.1465, 0.0063]","[0.1678, 0.0066]","[0.0795, 0.0047]","[0.2542, 0.0078]"
E-CDE-VAE,200,0.0001,0.0001,0.01,0.01,1.0,,0.001,300,0.2,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
E-CDE-VAE,200,0.0001,0.0001,0.01,0.1,1.0,,0.0001,300,0.2,Adam,"[0.0557, 0.0027]","[0.0504, 0.0023]","[0.0464, 0.002]","[0.0632, 0.0037]","[0.0341, 0.0012]","[0.145, 0.0045]","[0.0442, 0.0019]","[0.0373, 0.0015]","[0.0329, 0.0012]","[0.0559, 0.0028]","[0.0217, 0.0007]","[0.0572, 0.0035]","[0.126, 0.0058]","[0.1568, 0.0063]","[0.183, 0.0068]","[0.0823, 0.0047]","[0.2931, 0.008]"
E-CDE-VAE,200,0.0001,0.0001,0.01,0.1,1.0,,0.0005,300,0.2,Adam,"[0.0487, 0.0026]","[0.0437, 0.0021]","[0.04, 0.0018]","[0.056, 0.0035]","[0.029, 0.0011]","[0.1253, 0.0044]","[0.0379, 0.0017]","[0.0314, 0.0013]","[0.0277, 0.0011]","[0.0483, 0.0026]","[0.0178, 0.0006]","[0.0501, 0.0033]","[0.1125, 0.0055]","[0.1376, 0.0061]","[0.1602, 0.0065]","[0.0722, 0.0045]","[0.248, 0.0076]"
E-CDE-VAE,200,0.0001,0.0001,0.01,0.1,1.0,,0.001,300,0.2,Adam,"[0.0357, 0.0022]","[0.0322, 0.0018]","[0.0297, 0.0016]","[0.041, 0.003]","[0.022, 0.001]","[0.0962, 0.0039]","[0.0276, 0.0015]","[0.024, 0.0012]","[0.0211, 0.001]","[0.0353, 0.0022]","[0.0141, 0.0005]","[0.0373, 0.0029]","[0.0818, 0.0048]","[0.1047, 0.0054]","[0.1211, 0.0058]","[0.0526, 0.0038]","[0.1954, 0.0071]"
E-CDE-VAE,200,0.0001,0.0001,0.01,1.0,1.0,,0.0001,300,0.2,Adam,"[0.0445, 0.0024]","[0.0409, 0.002]","[0.0381, 0.0018]","[0.0496, 0.0033]","[0.0288, 0.0011]","[0.1213, 0.0041]","[0.0369, 0.0017]","[0.0319, 0.0014]","[0.0284, 0.0011]","[0.0442, 0.0025]","[0.019, 0.0007]","[0.0437, 0.003]","[0.1043, 0.0052]","[0.1323, 0.0058]","[0.1559, 0.0063]","[0.0633, 0.0041]","[0.2512, 0.0076]"
E-CDE-VAE,200,0.0001,0.0001,0.01,1.0,1.0,,0.0005,300,0.2,Adam,"[0.0373, 0.0023]","[0.0341, 0.0019]","[0.0318, 0.0016]","[0.0421, 0.0031]","[0.0241, 0.001]","[0.1041, 0.0039]","[0.0303, 0.0015]","[0.0264, 0.0012]","[0.0238, 0.001]","[0.0368, 0.0023]","[0.016, 0.0006]","[0.0379, 0.0029]","[0.0865, 0.0048]","[0.1118, 0.0055]","[0.134, 0.0059]","[0.0532, 0.0038]","[0.2198, 0.0072]"
