model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
S-E-CDE-VAE,200,0.0001,0.0001,0.01,0.0001,1.0,,0.0005,300,0.5,Adam,"[0.0584, 0.0028]","[0.052, 0.0023]","[0.0474, 0.002]","[0.0685, 0.0038]","[0.0335, 0.0012]","[0.1449, 0.0047]","[0.0436, 0.0018]","[0.0363, 0.0014]","[0.0319, 0.0012]","[0.0584, 0.0028]","[0.0197, 0.0006]","[0.0616, 0.0037]","[0.1287, 0.0059]","[0.1589, 0.0064]","[0.1843, 0.0069]","[0.0882, 0.0049]","[0.2779, 0.0079]"
S-E-CDE-VAE,200,0.0001,0.0001,0.01,0.0001,1.0,,0.001,300,0.5,Adam,"[0.0545, 0.0027]","[0.0485, 0.0022]","[0.0442, 0.0019]","[0.0634, 0.0037]","[0.0313, 0.0012]","[0.1352, 0.0047]","[0.041, 0.0018]","[0.0342, 0.0014]","[0.0298, 0.0011]","[0.0537, 0.0028]","[0.0185, 0.0006]","[0.0577, 0.0036]","[0.1214, 0.0057]","[0.1495, 0.0063]","[0.1726, 0.0067]","[0.0815, 0.0047]","[0.2585, 0.0078]"
S-E-CDE-VAE,200,0.0001,0.0001,0.01,0.001,1.0,,0.0001,300,0.5,Adam,"[0.0584, 0.0028]","[0.0525, 0.0023]","[0.0483, 0.002]","[0.0667, 0.0038]","[0.0353, 0.0013]","[0.1474, 0.0046]","[0.0456, 0.0019]","[0.0384, 0.0015]","[0.034, 0.0013]","[0.0583, 0.0029]","[0.022, 0.0007]","[0.0591, 0.0035]","[0.1286, 0.0058]","[0.1599, 0.0064]","[0.186, 0.0068]","[0.0843, 0.0047]","[0.2915, 0.0079]"
S-E-CDE-VAE,200,0.0001,0.0001,0.01,0.001,1.0,,0.0005,300,0.5,Adam,"[0.0584, 0.0028]","[0.052, 0.0023]","[0.0475, 0.002]","[0.068, 0.0038]","[0.0338, 0.0012]","[0.1458, 0.0047]","[0.0439, 0.0018]","[0.0367, 0.0014]","[0.0322, 0.0012]","[0.058, 0.0029]","[0.0201, 0.0006]","[0.0612, 0.0037]","[0.1305, 0.0059]","[0.1608, 0.0065]","[0.1866, 0.0069]","[0.087, 0.0049]","[0.2827, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.01,0.001,1.0,,0.001,300,0.5,Adam,"[0.0542, 0.0027]","[0.0483, 0.0022]","[0.0441, 0.0019]","[0.0629, 0.0037]","[0.0312, 0.0012]","[0.1345, 0.0046]","[0.0411, 0.0018]","[0.0342, 0.0014]","[0.0296, 0.0011]","[0.054, 0.0027]","[0.0185, 0.0006]","[0.056, 0.0035]","[0.1215, 0.0057]","[0.1492, 0.0063]","[0.1707, 0.0067]","[0.0826, 0.0048]","[0.2587, 0.0078]"
S-E-CDE-VAE,200,0.0001,0.0001,0.01,0.01,1.0,,0.0001,300,0.5,Adam,"[0.0582, 0.0028]","[0.0523, 0.0023]","[0.0482, 0.002]","[0.0667, 0.0038]","[0.0353, 0.0013]","[0.1479, 0.0046]","[0.0452, 0.0019]","[0.0384, 0.0015]","[0.0343, 0.0013]","[0.0579, 0.0029]","[0.0221, 0.0008]","[0.0588, 0.0035]","[0.128, 0.0058]","[0.16, 0.0064]","[0.188, 0.0068]","[0.0844, 0.0048]","[0.2933, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.01,0.01,1.0,,0.0005,300,0.5,Adam,"[0.0577, 0.0028]","[0.0515, 0.0023]","[0.047, 0.002]","[0.0675, 0.0038]","[0.0334, 0.0012]","[0.1448, 0.0047]","[0.0435, 0.0018]","[0.0365, 0.0014]","[0.0316, 0.0012]","[0.0576, 0.0028]","[0.0198, 0.0006]","[0.0605, 0.0036]","[0.1293, 0.0059]","[0.1609, 0.0065]","[0.1844, 0.0069]","[0.0874, 0.0049]","[0.2808, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.01,0.01,1.0,,0.001,300,0.5,Adam,"[0.0535, 0.0027]","[0.0479, 0.0022]","[0.0438, 0.0019]","[0.0623, 0.0037]","[0.0312, 0.0012]","[0.1342, 0.0046]","[0.0405, 0.0018]","[0.0342, 0.0014]","[0.0297, 0.0011]","[0.0528, 0.0027]","[0.0185, 0.0006]","[0.0553, 0.0035]","[0.1185, 0.0056]","[0.1485, 0.0063]","[0.1713, 0.0067]","[0.0796, 0.0047]","[0.2588, 0.0078]"
S-E-CDE-VAE,200,0.0001,0.0001,0.01,0.1,1.0,,0.0001,300,0.5,Adam,"[0.0584, 0.0028]","[0.0526, 0.0023]","[0.0483, 0.002]","[0.0667, 0.0038]","[0.0353, 0.0013]","[0.148, 0.0046]","[0.0453, 0.0019]","[0.0384, 0.0015]","[0.0338, 0.0013]","[0.0589, 0.0029]","[0.0221, 0.0007]","[0.0587, 0.0035]","[0.1292, 0.0059]","[0.1613, 0.0064]","[0.1859, 0.0068]","[0.0862, 0.0048]","[0.2922, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.01,0.1,1.0,,0.0005,300,0.5,Adam,"[0.0577, 0.0028]","[0.0515, 0.0023]","[0.0471, 0.002]","[0.0674, 0.0039]","[0.0336, 0.0012]","[0.1446, 0.0047]","[0.0438, 0.0018]","[0.0367, 0.0014]","[0.0322, 0.0012]","[0.0566, 0.0028]","[0.0199, 0.0006]","[0.0601, 0.0036]","[0.1298, 0.0059]","[0.1608, 0.0065]","[0.1859, 0.0069]","[0.0866, 0.0049]","[0.2789, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.01,0.1,1.0,,0.001,300,0.5,Adam,"[0.0554, 0.0028]","[0.0493, 0.0023]","[0.0449, 0.002]","[0.0648, 0.0038]","[0.0316, 0.0012]","[0.1365, 0.0047]","[0.0414, 0.0018]","[0.0346, 0.0014]","[0.0301, 0.0011]","[0.0546, 0.0028]","[0.0185, 0.0006]","[0.0575, 0.0036]","[0.1231, 0.0058]","[0.1523, 0.0064]","[0.1743, 0.0067]","[0.0828, 0.0047]","[0.2605, 0.0078]"
S-E-CDE-VAE,200,0.0001,0.0001,0.01,1.0,1.0,,0.0001,300,0.5,Adam,"[0.0584, 0.0028]","[0.0526, 0.0024]","[0.0484, 0.002]","[0.0673, 0.0038]","[0.0353, 0.0013]","[0.1484, 0.0046]","[0.045, 0.0019]","[0.0385, 0.0015]","[0.0339, 0.0013]","[0.0581, 0.0029]","[0.0222, 0.0007]","[0.0588, 0.0035]","[0.1281, 0.0058]","[0.1611, 0.0064]","[0.1865, 0.0068]","[0.084, 0.0047]","[0.2947, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.01,1.0,1.0,,0.0005,300,0.5,Adam,"[0.0575, 0.0028]","[0.0511, 0.0023]","[0.0467, 0.002]","[0.0673, 0.0038]","[0.0334, 0.0012]","[0.1449, 0.0047]","[0.043, 0.0018]","[0.0359, 0.0014]","[0.0317, 0.0012]","[0.0575, 0.0028]","[0.02, 0.0006]","[0.0609, 0.0037]","[0.1267, 0.0059]","[0.1568, 0.0064]","[0.1835, 0.0068]","[0.0877, 0.0049]","[0.2812, 0.0079]"
S-E-CDE-VAE,200,0.0001,0.0001,0.01,1.0,1.0,,0.001,300,0.5,Adam,"[0.0533, 0.0027]","[0.0477, 0.0022]","[0.0436, 0.0019]","[0.0619, 0.0037]","[0.0311, 0.0012]","[0.1345, 0.0047]","[0.0409, 0.0018]","[0.0341, 0.0013]","[0.0298, 0.0011]","[0.0519, 0.0027]","[0.0184, 0.0006]","[0.0557, 0.0035]","[0.1219, 0.0057]","[0.1489, 0.0063]","[0.1712, 0.0067]","[0.0797, 0.0047]","[0.2592, 0.0079]"
S-E-CDE-VAE,200,0.0001,0.0001,0.1,0.0001,1.0,,0.0001,300,0.5,Adam,"[0.0578, 0.0028]","[0.0521, 0.0023]","[0.048, 0.002]","[0.066, 0.0038]","[0.0353, 0.0013]","[0.1485, 0.0046]","[0.0447, 0.0019]","[0.0383, 0.0015]","[0.0339, 0.0013]","[0.058, 0.0029]","[0.0223, 0.0008]","[0.0587, 0.0035]","[0.1274, 0.0058]","[0.1603, 0.0064]","[0.1868, 0.0068]","[0.0842, 0.0047]","[0.2966, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.1,0.0001,1.0,,0.0005,300,0.5,Adam,"[0.0581, 0.0028]","[0.0518, 0.0023]","[0.0472, 0.002]","[0.0683, 0.0039]","[0.0334, 0.0012]","[0.1447, 0.0048]","[0.0431, 0.0018]","[0.0366, 0.0014]","[0.0318, 0.0012]","[0.058, 0.0029]","[0.0197, 0.0006]","[0.0608, 0.0036]","[0.1276, 0.0059]","[0.1611, 0.0065]","[0.1841, 0.0069]","[0.0888, 0.005]","[0.2789, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.1,0.0001,1.0,,0.001,300,0.5,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
S-E-CDE-VAE,200,0.0001,0.0001,0.1,0.001,1.0,,0.0001,300,0.5,Adam,"[0.0583, 0.0028]","[0.0525, 0.0023]","[0.0483, 0.002]","[0.067, 0.0038]","[0.0353, 0.0013]","[0.1487, 0.0046]","[0.045, 0.0019]","[0.0385, 0.0015]","[0.034, 0.0013]","[0.0586, 0.0029]","[0.0222, 0.0007]","[0.0586, 0.0035]","[0.127, 0.0057]","[0.1614, 0.0064]","[0.1892, 0.0069]","[0.085, 0.0048]","[0.2962, 0.008]"
